a	b	score
RALGAPA2	RALGAPB	948
ESF1	DDX27	959
ESF1	NOP56	940
AURKA	NINL	919
AURKA	CEP250	934
AURKA	TPX2	999
AURKA	CDC25B	981
AURKA	PSMF1	900
AURKA	UBE2C	996
AURKA	PSMA7	909
AURKA	MAPRE1	981
GSS	GGT7	985
PROCR	THBD	983
MYBL2	E2F1	974
MYBL2	RBL1	987
CSTF1	SRSF6	908
CSTF1	PRPF6	901
CSTF1	CRNKL1	901
CSTF1	SNRPB	906
CSTF1	CTNNBL1	907
CSTF1	SNRPB2	920
CTSZ	NAPB	900
TUBB1	PFDN4	908
UBOX5	UBE2C	900
UBOX5	RBCK1	908
UBOX5	ITCH	926
UBOX5	RNF114	903
UBOX5	UBE2V1	925
PTK6	ELMO2	901
PTK6	PTPN1	935
PTK6	SRMS	902
SRMS	PTK6	902
TRIB3	NCOA6	901
TRIB3	HELZ2	927
MACROD2	FLRT3	910
PROKR2	GNRH2	910
PROKR2	AVP	904
PROKR2	NTSR1	900
PROKR2	EDN3	905
PROKR2	OXT	900
PROKR2	PLCB4	907
PROKR2	PLCB1	907
PROKR2	ADRA1D	900
PDYN	SSTR4	903
PDYN	NPBWR2	908
PDYN	HRH3	909
PDYN	OPRL1	967
OXT	NTSR1	923
OXT	PLCB4	905
OXT	EDN3	925
OXT	PLCB1	908
OXT	ADRA1D	912
OXT	AVP	918
OXT	GNRH2	924
OXT	PROKR2	900
CHMP4B	MAP1LC3A	908
LBP	BPI	904
LBP	CEBPB	912
SLC32A1	DNAJC5	918
SLC32A1	SNAP25	952
AHCY	DNMT3B	923
PIGU	PIGT	994
GHRH	MC3R	924
GHRH	AVP	948
RPN2	RPS21	903
RPN2	PSMA7	912
MC3R	AVP	914
MC3R	GHRH	924
SYS1	NAPB	900
SYS1	ARFRP1	934
SYS1	STX16	906
PLCG1	HCK	969
PLCG1	SRC	955
PLCG1	PLCB4	914
PLCG1	GFRA4	900
PLCG1	PLCB1	928
SRSF6	CSTF1	908
SRSF6	CRNKL1	954
SRSF6	PRPF6	924
SRSF6	CTNNBL1	901
SRSF6	SNRPB	949
SRSF6	NXT1	925
SRSF6	RAE1	929
SRSF6	SNRPB2	964
MOCS3	NFS1	988
RNF114	RBCK1	900
RNF114	ITCH	900
RNF114	UBE2V1	900
RNF114	UBOX5	903
RNF114	UBE2C	900
CDC25B	YWHAB	989
CDC25B	AURKA	981
GNRH2	ADRA1D	900
GNRH2	PROKR2	910
GNRH2	EDN3	900
GNRH2	OXT	924
GNRH2	PLCB1	900
GNRH2	NTSR1	900
GNRH2	AVP	910
GNRH2	PLCB4	900
SNRPB2	SRSF6	964
SNRPB2	CSTF1	920
SNRPB2	PRPF6	970
SNRPB2	CRNKL1	979
SNRPB2	CTNNBL1	902
SNRPB2	SNRPB	993
DEFB129	DEFB126	958
DEFB129	DEFB118	946
DEFB129	DEFB115	900
DEFB129	DEFB132	942
DEFB129	DEFB128	944
DEFB129	DEFB121	947
DEFB129	DEFB116	900
DEFB129	DEFB127	954
DEFB129	DEFB119	927
DEFB129	DEFB123	958
DEFB129	DEFB125	968
DEFB129	DEFB124	935
TAF4	PHF20	900
LAMA5	PRNP	900
LAMA5	SRC	912
ADRM1	PSMF1	919
ADRM1	PSMA7	995
DEFB118	DEFB124	908
DEFB118	DEFB129	946
DEFB118	DEFB121	944
DEFB118	DEFB126	981
DEFB118	DEFB115	900
DEFB118	DEFB119	916
DEFB118	DEFB132	931
DEFB118	DEFB125	961
DEFB118	DEFB128	926
DEFB118	DEFB123	951
DEFB118	DEFB127	967
DEFB118	DEFB116	900
ACSS2	ACSS1	906
HSPA12B	RAE1	906
SNAP25	STX16	938
SNAP25	DNAJC5	958
SNAP25	NAPB	934
SNAP25	SLC32A1	952
NXT1	SRSF6	925
NXT1	RAE1	977
SSTR4	PDYN	903
SSTR4	HRH3	901
SSTR4	OPRL1	900
SSTR4	NPBWR2	902
DOK5	GFRA4	904
BPI	LBP	904
RALGAPB	RALGAPA2	948
PRPF6	CRNKL1	923
PRPF6	SRSF6	924
PRPF6	CTNNBL1	932
PRPF6	SNRPB2	970
PRPF6	SNRPB	994
PRPF6	CSTF1	901
NINL	TPX2	904
NINL	CEP250	927
NINL	MAPRE1	900
NINL	AURKA	919
MYL9	MYLK2	950
PIGT	PIGU	994
ELMO2	PTK6	901
YWHAB	CDC25B	989
TPX2	UBE2C	904
TPX2	CEP250	907
TPX2	NINL	904
TPX2	MAPRE1	905
TPX2	AURKA	999
ZNF217	DNTTIP1	908
CEBPB	HELZ2	901
CEBPB	UBE2C	900
CEBPB	LBP	912
CEBPB	NCOA3	911
CEBPB	ID1	915
HNF4A	FOXA2	979
GFRA4	PLCG1	900
GFRA4	DOK5	904
ARFGAP1	KIF16B	901
ARFGAP1	KIF3B	901
FOXA2	HNF4A	979
FOXA2	PCK1	928
ACSS1	ACSS2	906
PCK1	HELZ2	902
PCK1	FOXA2	928
PCK1	NCOA3	901
DEFB124	DEFB125	900
DEFB124	DEFB115	900
DEFB124	DEFB116	900
DEFB124	DEFB128	952
DEFB124	DEFB132	900
DEFB124	DEFB127	941
DEFB124	DEFB121	907
DEFB124	DEFB126	943
DEFB124	DEFB123	932
DEFB124	DEFB118	908
DEFB124	DEFB129	935
DEFB124	DEFB119	926
ARFRP1	NAPB	900
ARFRP1	STX16	909
ARFRP1	SYS1	934
PSMF1	PSMA7	914
PSMF1	UBE2C	901
PSMF1	ADRM1	919
PSMF1	ITCH	900
PSMF1	AURKA	900
DNMT3B	AHCY	923
PLCB4	PLCG1	914
PLCB4	GNRH2	900
PLCB4	AVP	900
PLCB4	PROKR2	907
PLCB4	OXT	905
PLCB4	NTSR1	907
PLCB4	EDN3	900
PLCB4	PLCB1	904
PLCB4	ADRA1D	908
DEFB128	DEFB129	944
DEFB128	DEFB125	952
DEFB128	DEFB118	926
DEFB128	DEFB121	914
DEFB128	DEFB126	950
DEFB128	DEFB123	910
DEFB128	DEFB115	900
DEFB128	DEFB116	900
DEFB128	DEFB127	927
DEFB128	DEFB119	936
DEFB128	DEFB132	958
DEFB128	DEFB124	952
OPRL1	SSTR4	900
OPRL1	PDYN	967
OPRL1	HRH3	903
OPRL1	NPBWR2	903
EDN3	PROKR2	905
EDN3	ADRA1D	900
EDN3	OXT	925
EDN3	PLCB1	900
EDN3	NTSR1	903
EDN3	GNRH2	900
EDN3	AVP	938
EDN3	PLCB4	900
PLCB1	EDN3	900
PLCB1	PLCG1	928
PLCB1	AVP	901
PLCB1	PROKR2	907
PLCB1	OXT	908
PLCB1	NTSR1	907
PLCB1	PLCB4	904
PLCB1	ADRA1D	914
PLCB1	GNRH2	900
GGT7	GSS	985
FLRT3	MACROD2	910
UBE2V1	RBCK1	917
UBE2V1	UBOX5	925
UBE2V1	RNF114	900
UBE2V1	ITCH	913
UBE2V1	UBE2C	982
COL9A3	COL20A1	900
HRH3	SSTR4	901
HRH3	PDYN	909
HRH3	OPRL1	903
HRH3	NPBWR2	901
E2F1	PCNA	957
E2F1	RBL1	995
E2F1	MYBL2	974
RPS21	EIF2S2	924
RPS21	XRN2	901
RPS21	NOP56	903
RPS21	RPN2	903
UCKL1	ENTPD6	902
UCKL1	ITPA	911
RBCK1	UBOX5	908
RBCK1	RNF114	900
RBCK1	UBE2V1	917
RBCK1	UBE2C	905
RBCK1	ITCH	911
UBE2C	ITCH	903
UBE2C	UBE2V1	982
UBE2C	PSMF1	901
UBE2C	AURKA	996
UBE2C	PSMA7	905
UBE2C	CEBPB	900
UBE2C	RBCK1	905
UBE2C	UBOX5	900
UBE2C	TPX2	904
UBE2C	RNF114	900
DYNLRB1	KIF3B	905
DYNLRB1	IFT52	904
SRC	PTPN1	994
SRC	PLCG1	955
SRC	LAMA5	912
SRC	MMP9	977
SRC	PTPRA	978
SRC	HCK	935
COL20A1	COL9A3	900
NCOA6	HELZ2	920
NCOA6	TRIB3	901
NCOA6	MAFB	934
NCOA6	NCOA3	937
DNAJC5	SLC32A1	918
DNAJC5	SNAP25	958
CTNNBL1	PRPF6	932
CTNNBL1	SNRPB	928
CTNNBL1	CSTF1	907
CTNNBL1	CRNKL1	924
CTNNBL1	SNRPB2	902
CTNNBL1	SRSF6	901
NPBWR2	HRH3	901
NPBWR2	OPRL1	903
NPBWR2	SSTR4	902
NPBWR2	PDYN	908
NTSR1	ADRA1D	900
NTSR1	GNRH2	900
NTSR1	AVP	914
NTSR1	PROKR2	900
NTSR1	OXT	923
NTSR1	PLCB4	907
NTSR1	EDN3	903
NTSR1	PLCB1	907
PSMA7	UBE2C	905
PSMA7	ADRM1	995
PSMA7	RPN2	912
PSMA7	ITCH	910
PSMA7	PSMF1	914
PSMA7	AURKA	909
STX16	SNAP25	938
STX16	NAPB	987
STX16	SYS1	906
STX16	ARFRP1	909
RAE1	NXT1	977
RAE1	SRSF6	929
RAE1	HSPA12B	906
RAE1	SNRPB	924
PFDN4	TUBB1	908
PTPN1	PTK6	935
PTPN1	SRC	994
PTPN1	NFATC2	901
DDX27	NOP56	994
DDX27	ESF1	959
NCOA3	HELZ2	911
NCOA3	NCOA6	937
NCOA3	CEBPB	911
NCOA3	PCK1	901
MMP9	SDC4	925
MMP9	SRC	977
DNTTIP1	ZNF217	908
SDC4	MMP9	925
IFT52	DYNLRB1	904
IFT52	KIF3B	963
LPIN3	CDS2	910
MAFB	NCOA6	934
RBL1	MYBL2	987
RBL1	PCNA	969
RBL1	E2F1	995
DSN1	MAPRE1	903
PHF20	TAF4	900
NFS1	MOCS3	988
MAP1LC3A	CHMP4B	908
ITCH	UBE2C	903
ITCH	RBCK1	911
ITCH	PSMA7	910
ITCH	MAVS	944
ITCH	UBOX5	926
ITCH	RNF114	900
ITCH	UBE2V1	913
ITCH	PSMF1	900
EIF2S2	RPS21	924
MAPRE1	NINL	900
MAPRE1	AURKA	981
MAPRE1	CEP250	906
MAPRE1	TPX2	905
MAPRE1	DSN1	903
KIF3B	DYNLRB1	905
KIF3B	IFT52	963
KIF3B	ARFGAP1	901
KIF3B	KIF16B	917
HCK	SRC	935
HCK	PLCG1	969
MYLK2	MYL9	950
ID1	CEBPB	915
DEFB123	DEFB115	941
DEFB123	DEFB132	900
DEFB123	DEFB128	910
DEFB123	DEFB116	905
DEFB123	DEFB127	900
DEFB123	DEFB121	933
DEFB123	DEFB125	948
DEFB123	DEFB126	935
DEFB123	DEFB118	951
DEFB123	DEFB129	958
DEFB123	DEFB119	958
DEFB123	DEFB124	932
DEFB119	DEFB129	927
DEFB119	DEFB124	926
DEFB119	DEFB126	938
DEFB119	DEFB118	916
DEFB119	DEFB128	936
DEFB119	DEFB132	935
DEFB119	DEFB115	924
DEFB119	DEFB127	908
DEFB119	DEFB116	900
DEFB119	DEFB121	944
DEFB119	DEFB125	900
DEFB119	DEFB123	958
ENTPD6	UCKL1	902
ENTPD6	ITPA	975
NAPB	STX16	987
NAPB	CTSZ	900
NAPB	SYS1	900
NAPB	ARFRP1	900
NAPB	SNAP25	934
THBD	PROCR	983
XRN2	RPS21	901
XRN2	NOP56	944
CRNKL1	SRSF6	954
CRNKL1	CSTF1	901
CRNKL1	PRPF6	923
CRNKL1	CTNNBL1	924
CRNKL1	SNRPB	992
CRNKL1	SNRPB2	979
POLR3F	ITPA	901
BMP2	BMP7	939
CRLS1	CDS2	972
MCM8	PCNA	910
PCNA	RBL1	969
PCNA	E2F1	957
PCNA	MCM8	910
PRNP	LAMA5	900
ADRA1D	GNRH2	900
ADRA1D	AVP	908
ADRA1D	PROKR2	900
ADRA1D	OXT	912
ADRA1D	NTSR1	900
ADRA1D	PLCB4	908
ADRA1D	EDN3	900
ADRA1D	PLCB1	914
ITPA	ENTPD6	975
ITPA	POLR3F	901
ITPA	UCKL1	911
AVP	GHRH	948
AVP	PLCB1	901
AVP	ADRA1D	908
AVP	GNRH2	910
AVP	PROKR2	904
AVP	MC3R	914
AVP	OXT	918
AVP	NTSR1	914
AVP	PLCB4	900
AVP	EDN3	938
PTPRA	SRC	978
NOP56	XRN2	944
NOP56	DDX27	994
NOP56	RPS21	903
NOP56	ESF1	940
FKBP1A	BMP7	910
FKBP1A	NFATC2	921
DEFB132	DEFB123	900
DEFB132	DEFB119	935
DEFB132	DEFB129	942
DEFB132	DEFB121	933
DEFB132	DEFB118	931
DEFB132	DEFB126	944
DEFB132	DEFB115	900
DEFB132	DEFB128	958
DEFB132	DEFB125	945
DEFB132	DEFB116	900
DEFB132	DEFB124	900
DEFB132	DEFB127	935
DEFB127	DEFB129	954
DEFB127	DEFB115	938
DEFB127	DEFB128	927
DEFB127	DEFB125	952
DEFB127	DEFB123	900
DEFB127	DEFB118	967
DEFB127	DEFB121	909
DEFB127	DEFB126	972
DEFB127	DEFB116	900
DEFB127	DEFB124	941
DEFB127	DEFB119	908
DEFB127	DEFB132	935
DEFB126	DEFB128	950
DEFB126	DEFB132	944
DEFB126	DEFB115	913
DEFB126	DEFB116	906
DEFB126	DEFB127	972
DEFB126	DEFB121	950
DEFB126	DEFB125	954
DEFB126	DEFB118	981
DEFB126	DEFB123	935
DEFB126	DEFB129	958
DEFB126	DEFB119	938
DEFB126	DEFB124	943
DEFB125	DEFB129	968
DEFB125	DEFB121	916
DEFB125	DEFB115	931
DEFB125	DEFB126	954
DEFB125	DEFB118	961
DEFB125	DEFB119	900
DEFB125	DEFB132	945
DEFB125	DEFB128	952
DEFB125	DEFB124	900
DEFB125	DEFB123	948
DEFB125	DEFB116	900
DEFB125	DEFB127	952
BMP7	FKBP1A	910
BMP7	BMP2	939
NFATC2	FKBP1A	921
NFATC2	PTPN1	901
CEP250	MAPRE1	906
CEP250	TPX2	907
CEP250	NINL	927
CEP250	AURKA	934
DEFB116	DEFB132	900
DEFB116	DEFB119	900
DEFB116	DEFB118	900
DEFB116	DEFB121	900
DEFB116	DEFB129	900
DEFB116	DEFB126	906
DEFB116	DEFB115	900
DEFB116	DEFB128	900
DEFB116	DEFB125	900
DEFB116	DEFB124	900
DEFB116	DEFB123	905
DEFB116	DEFB127	900
DEFB115	DEFB125	931
DEFB115	DEFB129	900
DEFB115	DEFB128	900
DEFB115	DEFB126	913
DEFB115	DEFB121	900
DEFB115	DEFB118	900
DEFB115	DEFB123	941
DEFB115	DEFB116	900
DEFB115	DEFB127	938
DEFB115	DEFB119	924
DEFB115	DEFB132	900
DEFB115	DEFB124	900
KIF16B	ARFGAP1	901
KIF16B	KIF3B	917
MAVS	ITCH	944
SNRPB	SRSF6	949
SNRPB	SNRPB2	993
SNRPB	PRPF6	994
SNRPB	CTNNBL1	928
SNRPB	CSTF1	906
SNRPB	CRNKL1	992
SNRPB	RAE1	924
DEFB121	DEFB126	950
DEFB121	DEFB118	944
DEFB121	DEFB115	900
DEFB121	DEFB132	933
DEFB121	DEFB128	914
DEFB121	DEFB116	900
DEFB121	DEFB127	909
DEFB121	DEFB129	947
DEFB121	DEFB123	933
DEFB121	DEFB119	944
DEFB121	DEFB125	916
DEFB121	DEFB124	907
HELZ2	CEBPB	901
HELZ2	PCK1	902
HELZ2	NCOA6	920
HELZ2	NCOA3	911
HELZ2	TRIB3	927
CDS2	CRLS1	972
CDS2	LPIN3	910
